134,54,
187,116,
190,115,
184,110,
167,110,
186,111,
197,95,
156,116,
133,80,
185,115,
130,73,
162,115,
139,116,
170,120,
135,116,
132,75,
157,120,
144,71,
141,76,
157,111,
143,74,
128,80,
164,120,
154,120,
143,77,
128,74,
132,84,
139,105,
159,120,
132,87,
141,78,
129,78,
132,115,
133,77,
141,73,
130,76,
132,78,
130,87,
128,84,
135,78,
145,78,
130,82,
130,93,
145,68,
146,76,
145,75,
148,75,
145,72,
148,72,
146,71,
134,54,
187,116,
184,110,
167,110,
190,115,
197,95,
132,115,
162,115,
135,116,
170,120,
139,116,
186,111,
185,115,
133,80,
130,73,
156,116,
159,120,
154,120,
132,84,
157,111,
144,71,
148,110,
143,74,
164,120,
132,75,
129,78,
128,80,
143,77,
141,76,
130,82,
141,71,
141,78,
130,87,
128,74,
130,76,
132,87,
145,75,
146,76,
145,72,
141,73,
132,78,
139,105,
145,68,
145,78,
133,77,
128,84,
146,71,
134,54,
187,116,
184,110,
190,115,
197,95,
186,111,
156,116,
139,116,
162,115,
170,120,
130,73,
133,80,
185,115,
144,71,
132,75,
129,78,
132,115,
132,84,
157,111,
143,74,
135,116,
128,80,
141,76,
128,74,
157,120,
130,82,
141,71,
154,120,
139,105,
159,120,
130,87,
145,68,
148,110,
143,77,
132,78,
145,78,
141,73,
141,78,
133,77,
145,75,
130,76,
128,84,
146,76,
148,75,
130,93,
145,72,
135,78,
146,71,
148,72,
