185,115
139,105
134,54
130,73
141,76
145,78
144,71
185,115
139,105
134,54
130,73
141,76
145,78
144,71
185,115
139,105
134,54
130,73
141,76
145,78
144,71
186,115
139,105
134,54
130,73
141,76
145,78
144,71
187,116
139,104
134,54
130,73
141,76
145,78
144,71
189,116
138,103
134,54
130,73
141,76
145,78
144,71
191,116
138,101
134,54
130,73
141,76
145,78
144,71
194,117
137,99
134,54
130,73
141,76
145,78
144,71
196,117
137,97
134,54
130,73
141,76
145,78
144,71
198,117
137,95
134,54
130,73
141,76
145,78
144,71
199,117
136,93
134,54
130,73
141,76
145,78
144,71
202,118
136,90
134,54
130,73
141,76
145,78
144,71
204,118
136,89
134,54
130,73
141,76
145,78
144,71
204,119
136,87
134,54
130,73
141,76
145,78
144,71
204,120
136,85
134,54
130,73
141,76
145,78
144,71
204,121
136,83
134,54
130,73
141,76
145,78
144,71
203,122
136,80
134,55
130,73
141,76
145,78
144,71
202,123
136,78
133,55
130,73
141,76
145,78
144,71
201,122
136,76
131,55
130,73
141,76
145,78
144,71
200,122
136,74
129,56
130,73
141,76
145,78
144,71
200,121
136,72
127,56
130,73
141,76
145,78
144,71
200,119
136,70
125,56
130,73
141,76
145,78
144,71
201,118
136,68
125,55
130,73
141,76
145,78
144,71
204,116
136,66
123,54
130,73
141,76
145,78
144,71
206,116
137,64
122,54
130,73
141,76
145,78
144,71
207,116
137,62
120,54
130,73
141,76
145,78
144,71
209,117
137,60
118,54
130,73
141,76
145,78
144,71
212,117
137,57
115,55
130,73
141,76
145,78
144,71
214,117
137,55
131,73
141,76
145,78
144,71
216,117
136,54
132,73
141,76
145,78
144,71
135,53
134,72
141,76
145,78
144,71
133,53
136,72
141,76
145,78
144,71
132,54
137,71
141,76
145,78
144,71
130,55
139,70
141,75
145,78
144,71
129,57
139,68
140,75
145,78
144,71
128,58
138,66
140,75
145,77
144,71
127,59
138,65
141,74
145,77
144,71
126,59
137,62
141,74
145,76
143,71
125,58
137,60
141,73
145,77
143,70
125,57
136,58
141,73
145,78
142,69
125,55
136,56
141,73
145,79
140,68
125,53
135,54
141,73
145,78
138,68
125,52
135,52
140,72
145,78
136,68
125,51
134,51
140,71
145,77
135,67
125,51
134,49
140,70
145,76
136,67
125,52
133,48
140,68
145,76
136,67
125,53
132,48
140,68
145,76
136,67
125,55
132,48
140,68
146,77
137,66
125,55
132,49
140,68
146,78
137,65
123,55
132,50
140,68
145,78
137,63
121,55
132,52
140,69
145,78
136,61
119,55
131,54
139,70
145,77
136,59
117,55
131,55
138,69
144,77
136,56
115,55
129,56
138,68
143,77
135,54
128,57
138,67
142,77
135,53
127,56
137,66
141,77
134,51
125,55
137,64
142,77
134,49
124,55
137,62
143,77
133,48
123,54
136,60
144,77
132,48
121,54
136,59
144,76
132,48
119,54
136,57
144,76
132,49
117,54
136,56
144,76
132,51
115,54
135,55
143,75
132,52
134,54
142,75
131,54
134,53
142,75
131,55
134,51
143,74
129,56
134,49
144,73
129,57
134,48
143,71
128,57
133,48
143,70
127,57
133,48
142,69
126,56
132,48
140,68
125,55
132,49
138,68
124,54
132,51
137,68
122,54
132,53
136,67
120,54
131,54
136,67
118,54
130,55
136,67
116,53
129,56
136,67
128,57
137,66
127,56
137,65
125,55
137,63
124,54
137,61
123,54
136,59
121,54
136,57
119,54
135,55
117,54
135,53
115,53
134,51
113,53
134,49
111,53
134,48
109,54
133,48
108,54
132,48
106,54
132,49
105,54
132,50
104,53
132,52
104,53
131,54
104,53
131,55
104,53
130,56
104,53
128,57
103,53
127,57
103,53
126,56
103,53
125,55
103,53
124,54
103,53
122,54
103,53
120,54
103,53
118,55
103,53
116,55
103,53
103,53
103,53
103,53
103,53
103,53
103,53
103,53
103,53
103,53
103,53
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
103,52
